Data,NF,Tipo de Gás,Cliente,Quantidade,Unidade,Embalagem,Valor Unitário,Valor Total,Fornecedor
17/06/2022,1286-49,OXIGENIO LIQUIDO CAMINH TANQUE,,6295,M³,Oxigênio/Líquido,R$ 2,28,R$ 14.353,23,White Martins
23/06/2022,1386-93,OXIGENIO LIQUIDO CAMINH TANQUE,,3995,M³,Oxigênio/Líquido,R$ 2,28,R$ 9.109,00,White Martins
27/06/2022,2462-29,OXIGENIO LIQUIDO CAMINH TANQUE,,3664,M³,Oxigênio/Líquido,R$ 2,28,R$ 8.354,29,White Martins
06/07/2022,313-400,DIOXIDO CARBONO LIQ CAM TANQUE,,24770,KG,Dioxido Carbono/Líquido,R$ 3,51,R$ 86.944,75,White Martins
08/07/2022,262-400,OXIGENIO LIQUIDO CAMINH TANQUE,,2249,M³,Oxigênio/Líquido,R$ 2,51,R$ 5.650,88,White Martins
